# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e-04
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1000            	1.89711676e+00	9.48422985e-01	9.48693775e-01	2.70789832e-03	4.32672689e-03	-1.61882857e-03	2.97277773e-03	-1.35394916e-04	9.48558380e-02	2.18141280e-19	9.48558380e-02	-9.48558380e-02
2000            	1.42604789e+00	7.12988401e-01	7.13059489e-01	7.10886638e-04	-1.25270946e-02	1.32379812e-02	-1.28825379e-02	-3.55443319e-05	7.13023945e-02	1.95032439e-19	7.13023945e-02	-7.13023945e-02
3000            	1.17053762e+00	5.85268509e-01	5.85269115e-01	6.06028618e-06	-1.14660220e-02	1.14720823e-02	-1.14690521e-02	-3.03014309e-07	5.85268812e-02	1.75042328e-19	5.85268812e-02	-5.85268812e-02
4000            	1.01354025e+00	5.06775672e-01	5.06764577e-01	-1.10955275e-04	-9.66723799e-03	9.55628272e-03	-9.61176036e-03	5.54776375e-06	5.06770125e-02	1.60332825e-19	5.06770125e-02	-5.06770125e-02
5000            	9.10074137e-01	4.55042900e-01	4.55031237e-01	-1.16627207e-04	-7.91770155e-03	7.80107434e-03	-7.85938795e-03	5.83136036e-06	4.55037068e-02	1.49787086e-19	4.55037068e-02	-4.55037068e-02
6000            	8.37940572e-01	4.18970652e-01	4.18969921e-01	-7.31248147e-06	-6.75686254e-03	6.74955006e-03	-6.75320630e-03	3.65624073e-07	4.18970286e-02	1.41905425e-19	4.18970286e-02	-4.18970286e-02
7000            	7.85208338e-01	3.92601431e-01	3.92606908e-01	5.47733788e-05	-5.99627454e-03	6.05104792e-03	-6.02366123e-03	-2.73866894e-06	3.92604169e-02	1.35729638e-19	3.92604169e-02	-3.92604169e-02
8000            	7.44860237e-01	3.72429746e-01	3.72430491e-01	7.45389245e-06	-4.74083753e-03	4.74829142e-03	-4.74456448e-03	-3.72694622e-07	3.72430119e-02	1.30358862e-19	3.72430119e-02	-3.72430119e-02
9000            	7.13116173e-01	3.56554311e-01	3.56561862e-01	7.55084663e-05	-4.34384351e-03	4.41935198e-03	-4.38159774e-03	-3.77542332e-06	3.56558086e-02	1.25551066e-19	3.56558086e-02	-3.56558086e-02
10000           	6.87294539e-01	3.43641528e-01	3.43653012e-01	1.14839569e-04	-3.98567142e-03	4.10051099e-03	-4.04309121e-03	-5.74197845e-06	3.43647270e-02	1.21051252e-19	3.43647270e-02	-3.43647270e-02
11000           	6.65706560e-01	3.32845234e-01	3.32861326e-01	1.60918353e-04	-3.82994420e-03	3.99086255e-03	-3.91040338e-03	-8.04591765e-06	3.32853280e-02	1.16740000e-19	3.32853280e-02	-3.32853280e-02
12000           	6.47243678e-01	3.23612601e-01	3.23631078e-01	1.84769368e-04	-3.70313145e-03	3.88790082e-03	-3.79551613e-03	-9.23846841e-06	3.23621839e-02	1.12576309e-19	3.23621839e-02	-3.23621839e-02
13000           	6.31116788e-01	3.15548363e-01	3.15568426e-01	2.00627213e-04	-3.71939838e-03	3.92002560e-03	-3.81971199e-03	-1.00313607e-05	3.15558394e-02	1.08566033e-19	3.15558394e-02	-3.15558394e-02
14000           	6.16815596e-01	3.08397469e-01	3.08418127e-01	2.06584730e-04	-3.63226919e-03	3.83885392e-03	-3.73556155e-03	-1.03292365e-05	3.08407798e-02	1.04741912e-19	3.08407798e-02	-3.08407798e-02
15000           	6.03948772e-01	3.01962514e-01	3.01986258e-01	2.37435565e-04	-3.75388471e-03	3.99132027e-03	-3.87260249e-03	-1.18717782e-05	3.01974386e-02	1.01129534e-19	3.01974386e-02	-3.01974386e-02
16000           	5.92247039e-01	2.96111279e-01	2.96135760e-01	2.44812116e-04	-3.79403907e-03	4.03885118e-03	-3.91644513e-03	-1.22406058e-05	2.96123520e-02	9.77168036e-20	2.96123520e-02	-2.96123520e-02
17000           	5.81511960e-01	2.90742386e-01	2.90769574e-01	2.71878830e-04	-4.01548675e-03	4.28736558e-03	-4.15142617e-03	-1.35939415e-05	2.90755980e-02	9.45184716e-20	2.90755980e-02	-2.90755980e-02
18000           	5.71596375e-01	2.85783663e-01	2.85812712e-01	2.90493737e-04	-4.15842284e-03	4.44891657e-03	-4.30366970e-03	-1.45246869e-05	2.85798187e-02	9.15089230e-20	2.85798187e-02	-2.85798187e-02
19000           	5.62377925e-01	2.81173840e-01	2.81204085e-01	3.02455434e-04	-4.33311925e-03	4.63557469e-03	-4.48434697e-03	-1.51227717e-05	2.81188962e-02	8.86690709e-20	2.81188962e-02	-2.81188962e-02
20000           	5.53783779e-01	2.76877337e-01	2.76906442e-01	2.91043562e-04	-4.35732627e-03	4.64836983e-03	-4.50284805e-03	-1.45521781e-05	2.76891890e-02	8.59788964e-20	2.76891890e-02	-2.76891890e-02
21000           	5.45739578e-01	2.72855707e-01	2.72883871e-01	2.81640982e-04	-4.41172024e-03	4.69336123e-03	-4.55254073e-03	-1.40820491e-05	2.72869789e-02	8.34170800e-20	2.72869789e-02	-2.72869789e-02
22000           	5.38198429e-01	2.69084302e-01	2.69114127e-01	2.98250996e-04	-4.61232545e-03	4.91057644e-03	-4.76145094e-03	-1.49125498e-05	2.69099215e-02	8.09835822e-20	2.69099215e-02	-2.69099215e-02
23000           	5.31104601e-01	2.65538091e-01	2.65566510e-01	2.84181838e-04	-4.60997509e-03	4.89415693e-03	-4.75206601e-03	-1.42090919e-05	2.65552301e-02	7.86516487e-20	2.65552301e-02	-2.65552301e-02
24000           	5.24435257e-01	2.62203165e-01	2.62232092e-01	2.89262375e-04	-4.74120864e-03	5.03047101e-03	-4.88583983e-03	-1.44631187e-05	2.62217628e-02	7.64171654e-20	2.62217628e-02	-2.62217628e-02
25000           	5.18136915e-01	2.59053836e-01	2.59083079e-01	2.92431751e-04	-4.81112246e-03	5.10355421e-03	-4.95733833e-03	-1.46215875e-05	2.59068457e-02	7.42656748e-20	2.59068457e-02	-2.59068457e-02
26000           	5.12196917e-01	2.56084519e-01	2.56112398e-01	2.78788548e-04	-4.78577603e-03	5.06456458e-03	-4.92517031e-03	-1.39394274e-05	2.56098458e-02	7.21878634e-20	2.56098458e-02	-2.56098458e-02
27000           	5.06581842e-01	2.53276848e-01	2.53304994e-01	2.81460245e-04	-4.82564560e-03	5.10710585e-03	-4.96637572e-03	-1.40730123e-05	2.53290921e-02	7.01848069e-20	2.53290921e-02	-2.53290921e-02
28000           	5.01266177e-01	2.50619206e-01	2.50646971e-01	2.77656467e-04	-4.83060822e-03	5.10826468e-03	-4.96943645e-03	-1.38828233e-05	2.50633088e-02	6.82478457e-20	2.50633088e-02	-2.50633088e-02
29000           	4.96228446e-01	2.48100299e-01	2.48128147e-01	2.78472919e-04	-4.83147786e-03	5.10995078e-03	-4.97071432e-03	-1.39236460e-05	2.48114223e-02	6.63686740e-20	2.48114223e-02	-2.48114223e-02
30000           	4.91456736e-01	2.45714081e-01	2.45742655e-01	2.85742691e-04	-4.91542039e-03	5.20116309e-03	-5.05829174e-03	-1.42871346e-05	2.45728368e-02	6.45448121e-20	2.45728368e-02	-2.45728368e-02
31000           	4.86930315e-01	2.43450762e-01	2.43479552e-01	2.87899109e-04	-4.93672811e-03	5.22462722e-03	-5.08067766e-03	-1.43949555e-05	2.43465157e-02	6.27776355e-20	2.43465157e-02	-2.43465157e-02
32000           	4.82623345e-01	2.41297444e-01	2.41325901e-01	2.84571575e-04	-4.91304845e-03	5.19762002e-03	-5.05533424e-03	-1.42285788e-05	2.41311672e-02	6.10590029e-20	2.41311672e-02	-2.41311672e-02
33000           	4.78528462e-01	2.39250035e-01	2.39278427e-01	2.83920451e-04	-4.91400734e-03	5.19792779e-03	-5.05596757e-03	-1.41960226e-05	2.39264231e-02	5.93888584e-20	2.39264231e-02	-2.39264231e-02
