# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e-04
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1000            	2.91129275e+01	1.42847068e+01	1.48282207e+01	5.43513916e+00	-2.18897499e+01	2.73248890e+01	-2.46073195e+01	-2.71756958e-01	1.45564638e+00	1.17574340e-17	1.45564638e+00	-1.45564638e+00
2000            	2.71808899e+01	1.34524793e+01	1.37284105e+01	2.75931226e+00	-1.74479055e+01	2.02072177e+01	-1.88275616e+01	-1.37965613e-01	1.35904449e+00	1.29520016e-17	1.35904449e+00	-1.35904449e+00
3000            	2.19643388e+01	1.09815128e+01	1.09828259e+01	1.31307862e-02	-2.01444895e+00	2.02757973e+00	-2.02101434e+00	-6.56539312e-04	1.09821694e+00	9.11706263e-18	1.09821694e+00	-1.09821694e+00
4000            	2.00247293e+01	1.00047497e+01	1.00199796e+01	1.52298757e-01	-2.58299087e+00	2.73528963e+00	-2.65914025e+00	-7.61493784e-03	1.00123646e+00	8.73813044e-18	1.00123646e+00	-1.00123646e+00
5000            	1.88740576e+01	9.41930294e+00	9.45475462e+00	3.54516776e-01	-4.01988644e+00	4.37440321e+00	-4.19714483e+00	-1.77258388e-02	9.43702878e-01	8.10382855e-18	9.43702878e-01	-9.43702878e-01
6000            	1.84211009e+01	9.20614677e+00	9.21495417e+00	8.80740081e-02	-2.18642452e+00	2.27449852e+00	-2.23046152e+00	-4.40370041e-03	9.21055047e-01	7.33666842e-18	9.21055047e-01	-9.21055047e-01
7000            	1.77577468e+01	8.86930548e+00	8.88844129e+00	1.91358174e-01	-3.88347725e+00	4.07483543e+00	-3.97915634e+00	-9.56790869e-03	8.87887338e-01	6.40235414e-18	8.87887338e-01	-8.87887338e-01
8000            	1.63819510e+01	8.19997940e+00	8.18197161e+00	-1.80077873e-01	-4.54540902e+00	4.36533114e+00	-4.45537008e+00	9.00389363e-03	8.19097551e-01	5.30435574e-18	8.19097551e-01	-8.19097551e-01
9000            	1.54423563e+01	7.75144651e+00	7.69090977e+00	-6.05367470e-01	-6.15372383e+00	5.54835636e+00	-5.85104009e+00	3.02683735e-02	7.72117814e-01	4.14034895e-18	7.72117814e-01	-7.72117814e-01
10000           	1.81364673e+01	9.10326224e+00	9.03320503e+00	-7.00572073e-01	-1.00174860e+01	9.31691393e+00	-9.66719997e+00	3.50286036e-02	9.06823364e-01	9.70631395e-19	9.06823364e-01	-9.06823364e-01
11000           	2.08959977e+01	1.04472710e+01	1.04487267e+01	1.45565387e-02	-1.87378406e+01	1.87523971e+01	-1.87451188e+01	-7.27826937e-04	1.04479988e+00	1.14052754e-18	1.04479988e+00	-1.04479988e+00
12000           	1.95612084e+01	9.78661706e+00	9.77459130e+00	-1.20257522e-01	-2.04055293e+01	2.02852717e+01	-2.03454005e+01	6.01287609e-03	9.78060418e-01	7.22974761e-18	9.78060418e-01	-9.78060418e-01
13000           	2.32666964e+01	1.16512139e+01	1.16154825e+01	-3.57314595e-01	-2.63548026e+01	2.59974880e+01	-2.61761453e+01	1.78657298e-02	1.16333482e+00	1.17669706e-17	1.16333482e+00	-1.16333482e+00
14000           	2.07362253e+01	1.03892488e+01	1.03469765e+01	-4.22722804e-01	-3.54370193e+01	3.50142965e+01	-3.52256579e+01	2.11361402e-02	1.03681126e+00	9.11636890e-18	1.03681126e+00	-1.03681126e+00
15000           	1.96119196e+01	9.81062998e+00	9.80128960e+00	-9.34038851e-02	-3.82197185e+01	3.81263146e+01	-3.81730166e+01	4.67019425e-03	9.80595979e-01	8.05223265e-18	9.80595979e-01	-9.80595979e-01
16000           	2.09440929e+01	1.04831531e+01	1.04609398e+01	-2.22133129e-01	-3.76000245e+01	3.73778913e+01	-3.74889579e+01	1.11066565e-02	1.04720465e+00	5.63704402e-18	1.04720465e+00	-1.04720465e+00
17000           	1.85618953e+01	9.35616918e+00	9.20572615e+00	-1.50443034e+00	-2.73361654e+01	2.58317351e+01	-2.65839502e+01	7.52215171e-02	9.28094767e-01	7.83101307e-18	9.28094767e-01	-9.28094767e-01
18000           	2.10128366e+01	1.05004156e+01	1.05124209e+01	1.20053023e-01	-3.48267140e+01	3.49467670e+01	-3.48867405e+01	-6.00265117e-03	1.05064183e+00	1.08141500e-17	1.05064183e+00	-1.05064183e+00
19000           	2.28160444e+01	1.14584092e+01	1.13576352e+01	-1.00773946e+00	-2.36787730e+01	2.26710335e+01	-2.31749032e+01	5.03869731e-02	1.14080222e+00	1.05481437e-17	1.14080222e+00	-1.14080222e+00
20000           	1.91282408e+01	9.64997857e+00	9.47826219e+00	-1.71716374e+00	-1.16366288e+01	9.91946510e+00	-1.07780470e+01	8.58581871e-02	9.56412038e-01	8.26091020e-18	9.56412038e-01	-9.56412038e-01
21000           	2.35052197e+01	1.18242407e+01	1.16809790e+01	-1.43261674e+00	-4.26601768e+00	2.83340094e+00	-3.54970931e+00	7.16308369e-02	1.17526098e+00	5.75099356e-18	1.17526098e+00	-1.17526098e+00
22000           	1.99639146e+01	1.01387739e+01	9.82514074e+00	-3.13633139e+00	2.22156140e+01	-2.53519454e+01	2.37837797e+01	1.56816570e-01	9.98195731e-01	9.45799255e-18	9.98195731e-01	-9.98195731e-01
23000           	2.14729234e+01	1.09716461e+01	1.05012773e+01	-4.70368802e+00	4.26734846e+01	-4.73771726e+01	4.50253286e+01	2.35184401e-01	1.07364617e+00	1.31954692e-17	1.07364617e+00	-1.07364617e+00
24000           	2.28965028e+01	1.17361896e+01	1.11603132e+01	-5.75876423e+00	7.90506396e+01	-8.48094039e+01	8.19300218e+01	2.87938211e-01	1.14482514e+00	1.26233146e-17	1.14482514e+00	-1.14482514e+00
25000           	1.84463924e+01	9.70779921e+00	8.73859316e+00	-9.69206047e+00	1.45640753e+02	-1.55332814e+02	1.50486784e+02	4.84603023e-01	9.22319619e-01	9.57434361e-18	9.22319619e-01	-9.22319619e-01
26000           	2.34882733e+01	1.22145538e+01	1.12737196e+01	-9.40834223e+00	1.59977844e+02	-1.69386187e+02	1.64682015e+02	4.70417112e-01	1.17441367e+00	5.50441065e-18	1.17441367e+00	-1.17441367e+00
27000           	2.11995667e+01	1.09319313e+01	1.02676354e+01	-6.64295936e+00	1.16969408e+02	-1.23612367e+02	1.20290888e+02	3.32147968e-01	1.05997833e+00	7.77293210e-18	1.05997833e+00	-1.05997833e+00
28000           	2.11858570e+01	1.07287389e+01	1.04571181e+01	-2.71620811e+00	5.00255690e+01	-5.27417772e+01	5.13836731e+01	1.35810406e-01	1.05929285e+00	1.27099942e-17	1.05929285e+00	-1.05929285e+00
29000           	2.37167453e+01	1.18130694e+01	1.19036759e+01	9.06064928e-01	-1.28970907e+00	2.19577400e+00	-1.74274154e+00	-4.53032464e-02	1.18583726e+00	1.22706275e-17	1.18583726e+00	-1.18583726e+00
30000           	1.87123727e+01	9.22812737e+00	9.48424533e+00	2.56117962e+00	-2.81206885e+01	3.06818681e+01	-2.94012783e+01	-1.28058981e-01	9.35618635e-01	9.49603318e-18	9.35618635e-01	-9.35618635e-01
31000           	2.31177805e+01	1.14033121e+01	1.17144684e+01	3.11156312e+00	-4.07276772e+01	4.38392404e+01	-4.22834588e+01	-1.55578156e-01	1.15588903e+00	5.40126639e-18	1.15588903e+00	-1.15588903e+00
32000           	2.16937774e+01	1.06734700e+01	1.10203074e+01	3.46837384e+00	-5.49132170e+01	5.83815909e+01	-5.66474039e+01	-1.73418692e-01	1.08468887e+00	7.06154189e-18	1.08468887e+00	-1.08468887e+00
33000           	2.05715931e+01	1.00789133e+01	1.04926799e+01	4.13766578e+00	-6.90804676e+01	7.32181334e+01	-7.11493005e+01	-2.06883289e-01	1.02857966e+00	1.23088370e-17	1.02857966e+00	-1.02857966e+00
34000           	2.41852320e+01	1.19717524e+01	1.22134796e+01	2.41727182e+00	-4.06732838e+01	4.30905557e+01	-4.18819198e+01	-1.20863591e-01	1.20926160e+00	1.29371017e-17	1.20926160e+00	-1.20926160e+00
35000           	1.90977097e+01	9.53394585e+00	9.56376389e+00	2.98180393e-01	-9.89493121e+00	1.01931116e+01	-1.00440214e+01	-1.49090197e-02	9.54885487e-01	9.51700792e-18	9.54885487e-01	-9.54885487e-01
36000           	2.26737819e+01	1.12722712e+01	1.14015107e+01	1.29239557e+00	-6.90325302e+00	8.19564859e+00	-7.54945080e+00	-6.46197784e-02	1.13368910e+00	6.01371330e-18	1.13368910e+00	-1.13368910e+00
37000           	2.25049505e+01	1.12237267e+01	1.12812238e+01	5.74970428e-01	-6.11174398e+00	6.68671441e+00	-6.39922920e+00	-2.87485214e-02	1.12524752e+00	6.74993085e-18	1.12524752e+00	-1.12524752e+00
38000           	1.96844731e+01	9.82118490e+00	9.86328823e+00	4.21033285e-01	-1.03827775e+01	1.08038108e+01	-1.05932941e+01	-2.10516642e-02	9.84223656e-01	1.21570404e-17	9.84223656e-01	-9.84223656e-01
39000           	2.41920733e+01	1.21598921e+01	1.20321812e+01	-1.27710924e+00	4.95891074e+00	-6.23601998e+00	5.59746536e+00	6.38554620e-02	1.20960367e+00	1.32648672e-17	1.20960367e+00	-1.20960367e+00
40000           	1.98309619e+01	9.97492655e+00	9.85603532e+00	-1.18891231e+00	1.25400187e+01	-1.37289311e+01	1.31344749e+01	5.94456154e-02	9.91548094e-01	9.57903231e-18	9.91548094e-01	-9.91548094e-01
41000           	2.18829665e+01	1.09535852e+01	1.09293814e+01	-2.42038190e-01	1.33409554e+01	-1.35829936e+01	1.34619745e+01	1.21019095e-02	1.09414833e+00	6.76106616e-18	1.09414833e+00	-1.09414833e+00
42000           	2.31177286e+01	1.15686411e+01	1.15490875e+01	-1.95535449e-01	3.09769311e+00	-3.29322856e+00	3.19546083e+00	9.77677243e-03	1.15588643e+00	6.37325727e-18	1.15588643e+00	-1.15588643e+00
43000           	1.91619422e+01	9.53047949e+00	9.63146270e+00	1.00983214e+00	-1.28428876e+01	1.38527197e+01	-1.33478037e+01	-5.04916068e-02	9.58097110e-01	1.22358802e-17	9.58097110e-01	-9.58097110e-01
44000           	2.41444587e+01	1.20817865e+01	1.20626722e+01	-1.91142334e-01	-2.42928831e+00	2.23814598e+00	-2.33371715e+00	9.55711669e-03	1.20722294e+00	1.33156642e-17	1.20722294e+00	-1.20722294e+00
45000           	2.06088222e+01	1.03463979e+01	1.02624243e+01	-8.39736339e-01	9.37439897e+00	-1.02141353e+01	9.79426713e+00	4.19868169e-02	1.03044111e+00	9.77794699e-18	1.03044111e+00	-1.03044111e+00
46000           	2.09954675e+01	1.04577423e+01	1.05377252e+01	7.99829292e-01	5.90978042e+00	-5.10995113e+00	5.50986577e+00	-3.99914646e-02	1.04977338e+00	7.66549263e-18	1.04977338e+00	-1.04977338e+00
47000           	2.36282662e+01	1.18098815e+01	1.18183847e+01	8.50314969e-02	7.39733473e-01	-6.54701976e-01	6.97217724e-01	-4.25157485e-03	1.18141331e+00	6.14070182e-18	1.18141331e+00	-1.18141331e+00
48000           	1.89543192e+01	9.41495061e+00	9.53936857e+00	1.24417958e+00	-1.46235232e+01	1.58677028e+01	-1.52456130e+01	-6.22089790e-02	9.47715959e-01	1.16395227e-17	9.47715959e-01	-9.47715959e-01
49000           	2.38444451e+01	1.19197637e+01	1.19246814e+01	4.91768906e-02	-7.88788848e+00	7.93706537e+00	-7.91247692e+00	-2.45884453e-03	1.19222226e+00	1.30921992e-17	1.19222226e+00	-1.19222226e+00
50000           	2.14636271e+01	1.07183023e+01	1.07453247e+01	2.70224352e-01	6.38415710e-01	-3.68191358e-01	5.03303534e-01	-1.35112176e-02	1.07318135e+00	1.03167836e-17	1.07318135e+00	-1.07318135e+00
51000           	2.00709883e+01	1.01245772e+01	9.94641116e+00	-1.78166023e+00	1.81840924e+01	-1.99657526e+01	1.90749225e+01	8.90830113e-02	1.00354942e+00	8.21257959e-18	1.00354942e+00	-1.00354942e+00
52000           	2.39122247e+01	1.19437787e+01	1.19684461e+01	2.46674457e-01	-5.95420760e-01	8.42095217e-01	-7.18757988e-01	-1.23337229e-02	1.19561124e+00	5.88323746e-18	1.19561124e+00	-1.19561124e+00
53000           	1.91581337e+01	9.57497579e+00	9.58315794e+00	8.18214875e-02	-6.17154761e+00	6.25336909e+00	-6.21245835e+00	-4.09107438e-03	9.57906686e-01	1.06052246e-17	9.57906686e-01	-9.57906686e-01
54000           	2.32892040e+01	1.16967219e+01	1.15924821e+01	-1.04239852e+00	-2.45857408e+00	1.41617556e+00	-1.93737482e+00	5.21199259e-02	1.16446020e+00	1.28290354e-17	1.16446020e+00	-1.16446020e+00
55000           	2.22858750e+01	1.11649915e+01	1.11208834e+01	-4.41081158e-01	2.16138074e+00	-2.60246190e+00	2.38192132e+00	2.20540579e-02	1.11429375e+00	1.07930751e-17	1.11429375e+00	-1.11429375e+00
56000           	1.93289161e+01	9.77408028e+00	9.55483581e+00	-2.19244465e+00	2.18029028e+01	-2.39953474e+01	2.28991251e+01	1.09622232e-01	9.66445805e-01	9.19049274e-18	9.66445805e-01	-9.66445805e-01
57000           	2.39826008e+01	1.19964019e+01	1.19861988e+01	-1.02030870e-01	2.64608316e+00	-2.74811403e+00	2.69709859e+00	5.10154349e-03	1.19913004e+00	5.59258369e-18	1.19913004e+00	-1.19913004e+00
58000           	1.96715309e+01	9.85246439e+00	9.81906652e+00	-3.33978632e-01	-1.13888021e+00	8.04901582e-01	-9.71890898e-01	1.66989316e-02	9.83576546e-01	9.61581972e-18	9.83576546e-01	-9.83576546e-01
