# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1000             9.48558380e-06 1.35394916e-08 -1.09070640e-24 7.41262722e-07 1.47818948e-08 7.68976903e-25 8.74432108e-06 -1.24240321e-09 -1.85968330e-24
2000             7.13023945e-06 3.55443319e-09 -9.75162195e-25 5.69986784e-07 4.32623500e-09 4.24495462e-25 6.56025267e-06 -7.71801810e-10 -1.39965766e-24
3000             5.85268812e-06 3.03014309e-11 -8.75211640e-25 5.18582613e-07 3.02198641e-10 2.30835348e-25 5.33410550e-06 -2.71897210e-10 -1.10604699e-24
4000             5.06770125e-06 -5.54776375e-10 -8.01664123e-25 5.04518334e-07 -6.69759065e-10 1.06854628e-25 4.56318291e-06 1.14982690e-10 -9.08518751e-25
5000             4.55037069e-06 -5.83136036e-10 -7.48935429e-25 5.06964680e-07 -9.57612864e-10 2.08259777e-26 4.04340601e-06 3.74476828e-10 -7.69761407e-25
6000             4.18970286e-06 -3.65624073e-11 -7.09527124e-25 5.17377712e-07 -5.71702902e-10 -4.21097356e-26 3.67232515e-06 5.35140495e-10 -6.67417389e-25
7000             3.92604169e-06 2.73866894e-10 -6.78648189e-25 5.31505601e-07 -3.58201188e-10 -9.02253594e-26 3.39453609e-06 6.32068081e-10 -5.88422830e-25
8000             3.72430119e-06 3.72694622e-11 -6.51794312e-25 5.45993545e-07 -6.51456349e-10 -1.26943531e-25 3.17830764e-06 6.88725812e-10 -5.24850781e-25
9000             3.56558086e-06 3.77542332e-10 -6.27755330e-25 5.61020379e-07 -3.51668155e-10 -1.56214819e-25 3.00456049e-06 7.29210487e-10 -4.71540511e-25
10000            3.43647270e-06 5.74197845e-10 -6.05256260e-25 5.74991040e-07 -1.89295644e-10 -1.79480264e-25 2.86148166e-06 7.63493489e-10 -4.25775996e-25
11000            3.32853280e-06 8.04591765e-10 -5.83700000e-25 5.87364124e-07 1.88837645e-11 -1.97738102e-25 2.74116868e-06 7.85708001e-10 -3.85961898e-25
12000            3.23621839e-06 9.23846841e-10 -5.62881544e-25 5.97946288e-07 1.23754837e-10 -2.12055620e-25 2.63827210e-06 8.00092004e-10 -3.50825925e-25
13000            3.15558394e-06 1.00313607e-09 -5.42830165e-25 6.06578529e-07 1.91461187e-10 -2.23057447e-25 2.54900541e-06 8.11674879e-10 -3.19772718e-25
14000            3.08407798e-06 1.03292365e-09 -5.23709561e-25 6.13424038e-07 2.11835436e-10 -2.31448241e-25 2.47065394e-06 8.21088213e-10 -2.92261320e-25
15000            3.01974386e-06 1.18717782e-09 -5.05647668e-25 6.18552676e-07 3.58638603e-10 -2.37698780e-25 2.40119118e-06 8.28539220e-10 -2.67948888e-25
16000            2.96123520e-06 1.22406058e-09 -4.88584018e-25 6.22163014e-07 3.86134341e-10 -2.42172505e-25 2.33907218e-06 8.37926239e-10 -2.46411513e-25
17000            2.90755980e-06 1.35939415e-09 -4.72592358e-25 6.24456757e-07 5.13785455e-10 -2.45322408e-25 2.28310304e-06 8.45608695e-10 -2.27269950e-25
