# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1000             1.45564638e-04 2.71756958e-05 -5.87871698e-23 6.00418171e-05 2.70582081e-05 -5.89997573e-23 8.55228206e-05 1.17487716e-07 2.12587428e-25
2000             1.35904449e-04 1.37965613e-05 -6.47600078e-23 6.80688065e-05 1.38199015e-05 -7.75177530e-23 6.78356428e-05 -2.33402167e-08 1.27577451e-23
3000             1.09821694e-04 6.56539312e-08 -4.55853132e-23 5.28075822e-05 5.37276186e-07 -5.77788248e-23 5.70141117e-05 -4.71622255e-07 1.21935116e-23
4000             1.00123646e-04 7.61493784e-07 -4.36906522e-23 4.97681615e-05 1.73043854e-06 -5.11064042e-23 5.03554849e-05 -9.68944755e-07 7.41575198e-24
5000             9.43702878e-05 1.77258388e-06 -4.05191428e-23 4.84203845e-05 3.40110033e-06 -4.46248001e-23 4.59499033e-05 -1.62851645e-06 4.10565731e-24
6000             9.21055048e-05 4.40370041e-07 -3.66833421e-23 4.91888160e-05 2.69178211e-06 -3.90798416e-23 4.29166888e-05 -2.25141207e-06 2.39649952e-24
7000             8.87887339e-05 9.56790869e-07 -3.20117707e-23 4.81614300e-05 3.44659305e-06 -3.48328953e-23 4.06273038e-05 -2.48980218e-06 2.82112465e-24
8000             8.19097551e-05 -9.00389363e-07 -2.65217787e-23 4.32352790e-05 1.06774433e-06 -3.60102858e-23 3.86744761e-05 -1.96813369e-06 9.48850708e-24
9000             7.72117814e-05 -3.02683735e-06 -2.07017447e-23 4.01416694e-05 -2.76598499e-06 -4.09397889e-23 3.70701120e-05 -2.60852357e-07 2.02380442e-23
10000            9.06823364e-05 -3.50286037e-06 -4.85315698e-24 5.41781199e-05 -5.80663203e-06 -4.06421830e-23 3.65042165e-05 2.30377167e-06 3.57890261e-23
11000            1.04479988e-04 7.27826937e-08 -5.70263771e-24 6.78831023e-05 -3.30263192e-06 -4.78041258e-23 3.65968860e-05 3.37541462e-06 4.21014881e-23
12000            9.78060418e-05 -6.01287609e-07 -3.61487380e-23 6.16588587e-05 -1.90785936e-06 -6.06223570e-23 3.61471831e-05 1.30657175e-06 2.44736189e-23
