# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1000             -6.76974579e-10 4.74279190e-07 -1.48638886e-08 -7.39094740e-10 3.70631361e-08 1.60968225e-07 6.21201604e-11 4.37216054e-07 -1.75832114e-07
2000             -1.77721660e-10 3.56511973e-07 6.44126896e-08 -2.16311750e-10 2.84993392e-08 7.80985606e-08 3.85900905e-11 3.28012633e-07 -1.36858710e-08
3000             -1.51507155e-12 2.92634406e-07 5.73452606e-08 -1.51099321e-11 2.59291306e-08 2.08666681e-08 1.35948605e-11 2.66705275e-07 3.64785925e-08
4000             2.77388188e-11 2.53385062e-07 4.80588018e-08 3.34879532e-11 2.52259167e-08 1.45333907e-09 -5.74913449e-12 2.28159146e-07 4.66054627e-08
5000             2.91568018e-11 2.27518534e-07 3.92969397e-08 4.78806432e-11 2.53482340e-08 -4.24755894e-09 -1.87238414e-11 2.02170300e-07 4.35444987e-08
6000             1.82812037e-12 2.09485143e-07 3.37660315e-08 2.85851451e-11 2.58688856e-08 -3.51790014e-09 -2.67570247e-11 1.83616258e-07 3.72839317e-08
7000             -1.36933447e-11 1.96302085e-07 3.01183062e-08 1.79100594e-11 2.65752800e-08 -1.03766671e-09 -3.16034041e-11 1.69726805e-07 3.11559729e-08
8000             -1.86347311e-12 1.86215059e-07 2.37228224e-08 3.25728175e-11 2.72996773e-08 -2.39949266e-09 -3.44362906e-11 1.58915382e-07 2.61223150e-08
9000             -1.88771166e-11 1.78279043e-07 2.19079887e-08 1.75834078e-11 2.80510189e-08 -3.62527363e-10 -3.64605243e-11 1.50228024e-07 2.22705161e-08
10000            -2.87098923e-11 1.71823635e-07 2.02154560e-08 9.46478218e-12 2.87495520e-08 7.72970103e-10 -3.81746744e-11 1.43074083e-07 1.94424859e-08
11000            -4.02295883e-11 1.66426640e-07 1.95520169e-08 -9.44188223e-13 2.93682062e-08 2.19820971e-09 -3.92854000e-11 1.37058434e-07 1.73538072e-08
12000            -4.61923421e-11 1.61810920e-07 1.89775807e-08 -6.18774185e-12 2.98973144e-08 3.18843965e-09 -4.00046002e-11 1.31913605e-07 1.57891410e-08
13000            -5.01568033e-11 1.57779197e-07 1.90985600e-08 -9.57305935e-12 3.03289264e-08 4.48883331e-09 -4.05837440e-11 1.27450271e-07 1.46097266e-08
14000            -5.16461824e-11 1.54203899e-07 1.86778078e-08 -1.05917718e-11 3.06712019e-08 4.95633418e-09 -4.10544107e-11 1.23532697e-07 1.37214736e-08
15000            -5.93588911e-11 1.50987193e-07 1.93630124e-08 -1.79319301e-11 3.09276338e-08 6.32240645e-09 -4.14269610e-11 1.20059559e-07 1.30406060e-08
16000            -6.12030290e-11 1.48061760e-07 1.95822256e-08 -1.93067171e-11 3.11081507e-08 7.05252561e-09 -4.18963120e-11 1.16953609e-07 1.25297000e-08
17000            -6.79697075e-11 1.45377990e-07 2.07571308e-08 -2.56892727e-11 3.12228378e-08 8.62283118e-09 -4.22804347e-11 1.14155152e-07 1.21342997e-08
18000            -7.26234343e-11 1.42899094e-07 2.15183485e-08 -3.00107086e-11 3.12818990e-08 9.69023985e-09 -4.26127257e-11 1.11617195e-07 1.18281087e-08
19000            -7.56138586e-11 1.40594481e-07 2.24217349e-08 -3.25564392e-11 3.12924267e-08 1.08159549e-08 -4.30574194e-11 1.09302055e-07 1.16057799e-08
20000            -7.27608906e-11 1.38445945e-07 2.25142402e-08 -2.93013676e-11 3.12666055e-08 1.10799811e-08 -4.34595230e-11 1.07179339e-07 1.14342592e-08
21000            -7.04102454e-11 1.36434894e-07 2.27627037e-08 -2.65096627e-11 3.12106404e-08 1.14555584e-08 -4.39005827e-11 1.05224254e-07 1.13071453e-08
22000            -7.45627491e-11 1.34549607e-07 2.38072547e-08 -3.03774385e-11 3.11332667e-08 1.26140457e-08 -4.41853106e-11 1.03416341e-07 1.11932090e-08
23000            -7.10454596e-11 1.32776150e-07 2.37603301e-08 -2.65370295e-11 3.10376875e-08 1.26558123e-08 -4.45084301e-11 1.01738463e-07 1.11045178e-08
24000            -7.23155937e-11 1.31108814e-07 2.44291991e-08 -2.75264105e-11 3.09326102e-08 1.34002625e-08 -4.47891832e-11 1.00176204e-07 1.10289366e-08
25000            -7.31079377e-11 1.29534229e-07 2.47866917e-08 -2.80976127e-11 3.08169983e-08 1.38221145e-08 -4.50103250e-11 9.87172304e-08 1.09645772e-08
26000            -6.96971369e-11 1.28049229e-07 2.46258515e-08 -2.45225275e-11 3.06981146e-08 1.37183326e-08 -4.51746095e-11 9.73511146e-08 1.09075189e-08
27000            -7.03650614e-11 1.26645460e-07 2.48318786e-08 -2.50784314e-11 3.05766890e-08 1.39794008e-08 -4.52866300e-11 9.60687715e-08 1.08524778e-08
28000            -6.94141167e-11 1.25316544e-07 2.48471823e-08 -2.40508572e-11 3.04541758e-08 1.40482728e-08 -4.53632595e-11 9.48623684e-08 1.07989095e-08
29000            -6.96182298e-11 1.24057112e-07 2.48535716e-08 -2.42430298e-11 3.03320695e-08 1.41080271e-08 -4.53752000e-11 9.37250421e-08 1.07455445e-08
30000            -7.14356728e-11 1.22864184e-07 2.52914587e-08 -2.61712327e-11 3.02133407e-08 1.46066241e-08 -4.52644401e-11 9.26508433e-08 1.06848346e-08
31000            -7.19747773e-11 1.21732579e-07 2.54033883e-08 -2.69036120e-11 3.00981229e-08 1.47836174e-08 -4.50711653e-11 9.16344558e-08 1.06197709e-08
32000            -7.11428938e-11 1.20655836e-07 2.52766712e-08 -2.63365283e-11 2.99846835e-08 1.47251609e-08 -4.48063655e-11 9.06711527e-08 1.05515103e-08
33000            -7.09801128e-11 1.19632116e-07 2.52798378e-08 -2.64799300e-11 2.98753131e-08 1.47969480e-08 -4.45001828e-11 8.97568026e-08 1.04828898e-08
