# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1000             -1.35878479e-06 7.27823188e-06 1.23036597e-04 -1.35291040e-06 3.00209086e-06 1.23567924e-04 -5.87438580e-09 4.27614103e-06 -5.31327046e-07
2000             -6.89828066e-07 6.79522247e-06 9.41378080e-05 -6.90995076e-07 3.40344033e-06 9.44183122e-05 1.16701083e-09 3.39178214e-06 -2.80504214e-07
3000             -3.28269656e-09 5.49108470e-06 1.01050717e-05 -2.68638093e-08 2.64037911e-06 1.25807461e-05 2.35811127e-08 2.85070558e-06 -2.47567440e-06
4000             -3.80746892e-08 5.00618232e-06 1.32957013e-05 -8.65219270e-08 2.48840807e-06 1.84310130e-05 4.84472378e-08 2.51777425e-06 -5.13531173e-06
5000             -8.86291940e-08 4.71851439e-06 2.09857241e-05 -1.70055017e-07 2.42101923e-06 2.97167828e-05 8.14258225e-08 2.29749516e-06 -8.73105865e-06
6000             -2.20185020e-08 4.60527524e-06 1.11523076e-05 -1.34589105e-07 2.45944080e-06 2.33542383e-05 1.12570603e-07 2.14583444e-06 -1.22019307e-05
7000             -4.78395435e-08 4.43943669e-06 1.98957817e-05 -1.72329652e-07 2.40807150e-06 3.36231658e-05 1.24490109e-07 2.03136519e-06 -1.37273841e-05
8000             4.50194681e-08 4.09548775e-06 2.22768504e-05 -5.33872166e-08 2.16176395e-06 3.35296509e-05 9.84066847e-08 1.93372380e-06 -1.12528005e-05
9000             1.51341867e-07 3.86058907e-06 2.92552005e-05 1.38299250e-07 2.00708347e-06 3.17107998e-05 1.30426178e-08 1.85350560e-06 -2.45559938e-06
10000            1.75143018e-07 4.53411682e-06 4.83359999e-05 2.90331602e-07 2.70890599e-06 3.72003999e-05 -1.15188583e-07 1.82521083e-06 1.11356000e-05
11000            -3.63913468e-09 5.22399942e-06 9.37255942e-05 1.65131596e-07 3.39415512e-06 7.63090243e-05 -1.68770731e-07 1.82984430e-06 1.74165698e-05
12000            3.00643805e-08 4.89030209e-06 1.01727003e-04 9.53929680e-08 3.08294294e-06 9.43324843e-05 -6.53285875e-08 1.80735915e-06 7.39451819e-06
13000            8.93286488e-08 5.81667410e-06 1.30880727e-04 -1.56147497e-08 3.99192589e-06 1.41069576e-04 1.04943399e-07 1.82474821e-06 -1.01888491e-05
14000            1.05680701e-07 5.18405632e-06 1.76128290e-04 2.08069326e-08 3.39662740e-06 1.84628561e-04 8.48737684e-08 1.78742892e-06 -8.50027117e-06
15000            2.33509713e-08 4.90297990e-06 1.90865083e-04 8.72091914e-08 3.15951173e-06 1.84097253e-04 -6.38582201e-08 1.74346817e-06 6.76782943e-06
16000            5.55332823e-08 5.23602323e-06 1.87444790e-04 1.82522706e-07 3.49914496e-06 1.73769006e-04 -1.26989424e-07 1.73687828e-06 1.36757836e-05
17000            3.76107586e-07 4.64047383e-06 1.32919751e-04 4.24605538e-07 2.93939860e-06 1.26942578e-04 -4.84979520e-08 1.70107524e-06 5.97717298e-06
18000            -3.00132559e-08 5.25320914e-06 1.74433702e-04 -1.51974071e-07 3.55435384e-06 1.86210556e-04 1.21960815e-07 1.69885531e-06 -1.17768535e-05
19000            2.51934865e-07 5.70401110e-06 1.15874516e-04 9.31606320e-08 3.98191608e-06 1.32076196e-04 1.58774233e-07 1.72209502e-06 -1.62016801e-05
20000            4.29290936e-07 4.78206019e-06 5.38902349e-05 4.31457917e-07 3.10053433e-06 5.38506158e-05 -2.16698106e-09 1.68152586e-06 3.96191185e-08
21000            3.58154185e-07 5.87630491e-06 1.77485465e-05 5.11656548e-07 4.16251070e-06 1.73580812e-06 -1.53502363e-07 1.71379422e-06 1.60127384e-05
22000            7.84082849e-07 4.99097866e-06 -1.18918899e-04 8.70393129e-07 3.31179370e-06 -1.28498905e-04 -8.63102809e-08 1.67918496e-06 9.58000597e-06
23000            1.17592200e-06 5.36823084e-06 -2.25126643e-04 1.06651566e-06 3.69658758e-06 -2.14635657e-04 1.09406348e-07 1.67164326e-06 -1.04909859e-05
24000            1.43969106e-06 5.72412571e-06 -4.09650109e-04 1.27849213e-06 4.02850100e-06 -3.93367563e-04 1.61198925e-07 1.69562471e-06 -1.62825460e-05
25000            2.42301512e-06 4.61159809e-06 -7.52433919e-04 2.39465777e-06 2.95728503e-06 -7.49561196e-04 2.83573487e-08 1.65431307e-06 -2.87272254e-06
26000            2.35208556e-06 5.87206834e-06 -8.23410078e-04 2.50382634e-06 4.17746540e-06 -8.39373051e-04 -1.51740786e-07 1.69460293e-06 1.59629735e-05
27000            1.66073984e-06 5.29989167e-06 -6.01454438e-04 1.77949928e-06 3.60912916e-06 -6.14382109e-04 -1.18759444e-07 1.69076251e-06 1.29276709e-05
28000            6.79052029e-07 5.29646425e-06 -2.56918366e-04 5.95758352e-07 3.61683800e-06 -2.49021971e-04 8.32936770e-08 1.67962625e-06 -7.89639423e-06
29000            -2.26516232e-07 5.92918632e-06 8.71370768e-06 -3.93821984e-07 4.21947451e-06 2.58474551e-05 1.67305752e-07 1.70971181e-06 -1.71337474e-05
30000            -6.40294906e-07 4.67809318e-06 1.47006392e-04 -6.91576799e-07 3.02197376e-06 1.52682825e-04 5.12818935e-08 1.65611941e-06 -5.67643358e-06
31000            -7.77890780e-07 5.77944513e-06 2.11417294e-04 -6.32766877e-07 4.10218229e-06 1.96772449e-04 -1.45123902e-07 1.67726284e-06 1.46448452e-05
32000            -8.67093461e-07 5.42344434e-06 2.83237020e-04 -7.34949970e-07 3.74807998e-06 2.69499230e-04 -1.32143491e-07 1.67536437e-06 1.37377902e-05
33000            -1.03441644e-06 5.14289829e-06 3.55746503e-04 -1.09809026e-06 3.48999803e-06 3.61992648e-04 6.36738109e-08 1.65290025e-06 -6.24614561e-06
34000            -6.04317955e-07 6.04630801e-06 2.09409599e-04 -7.76203109e-07 4.35192205e-06 2.27239652e-04 1.71885154e-07 1.69438596e-06 -1.78300534e-05
35000            -7.45450983e-08 4.77442743e-06 5.02201070e-05 -1.50422215e-07 3.12471188e-06 5.86238885e-05 7.58771170e-08 1.64971556e-06 -8.40378151e-06
36000            -3.23098892e-07 5.66844548e-06 3.77472540e-05 -1.91275755e-07 4.00490395e-06 2.47292511e-05 -1.31823137e-07 1.66354153e-06 1.30180029e-05
37000            -1.43742607e-07 5.62623763e-06 3.19961460e-05 3.97929816e-09 3.95487230e-06 1.67723026e-05 -1.47721905e-07 1.67136533e-06 1.52238434e-05
38000            -1.05258321e-07 4.92111828e-06 5.29664707e-05 -1.38219593e-07 3.28809258e-06 5.60127870e-05 3.29612715e-08 1.63302571e-06 -3.04631638e-06
39000            3.19277310e-07 6.04801833e-06 -2.79873268e-05 1.48813296e-07 4.37163664e-06 -1.04605434e-05 1.70464014e-07 1.67638169e-06 -1.75267834e-05
40000            2.97228077e-07 4.95774047e-06 -6.56723745e-05 1.97300829e-07 3.31420616e-06 -5.49581067e-05 9.99272482e-08 1.64353431e-06 -1.07142678e-05
41000            6.05095476e-08 5.47074164e-06 -6.73098724e-05 1.73295321e-07 3.82605187e-06 -7.84994316e-05 -1.12785774e-07 1.64468976e-06 1.11895592e-05
42000            4.88838622e-08 5.77943215e-06 -1.59773042e-05 2.06708817e-07 4.11225875e-06 -3.23860373e-05 -1.57824955e-07 1.66717339e-06 1.64087331e-05
43000            -2.52458034e-07 4.79048555e-06 6.67390183e-05 -2.56839991e-07 3.16620499e-06 6.66366536e-05 4.38195738e-09 1.62428056e-06 1.02364762e-07
44000            4.77855834e-08 6.03611468e-06 1.16685857e-05 -1.17801305e-07 4.36837510e-06 2.83894771e-05 1.65586888e-07 1.66773958e-06 -1.67208913e-05
45000            2.09934085e-07 5.15220555e-06 -4.89713357e-05 8.94758247e-08 3.50645107e-06 -3.64094656e-05 1.20458260e-07 1.64575448e-06 -1.25618701e-05
46000            -1.99957323e-07 5.24886688e-06 -2.75493289e-05 -1.10193871e-07 3.61705763e-06 -3.65225839e-05 -8.97634526e-08 1.63180925e-06 8.97325500e-06
47000            -2.12578742e-08 5.90706654e-06 -3.48608862e-06 1.45215971e-07 4.24089420e-06 -2.08991431e-05 -1.66473845e-07 1.66617235e-06 1.74130545e-05
48000            -3.11044895e-07 4.73857980e-06 7.62280651e-05 -2.82546778e-07 3.11698317e-06 7.25997093e-05 -2.84981170e-08 1.62159662e-06 3.62835573e-06
49000            -1.22942227e-08 5.96111128e-06 3.95623846e-05 -1.67178316e-07 4.30176259e-06 5.49537633e-05 1.54884094e-07 1.65934870e-06 -1.53913787e-05
50000            -6.75560879e-08 5.36590677e-06 -2.51651767e-06 -2.05107314e-07 3.71453822e-06 1.16232430e-05 1.37551226e-07 1.65136855e-06 -1.41397607e-05
51000            4.45415056e-07 5.01774709e-06 -9.53746126e-05 5.06037656e-07 3.39427129e-06 -1.01444750e-04 -6.06226000e-08 1.62347580e-06 6.07013738e-06
52000            -6.16686144e-08 5.97805619e-06 3.59378994e-06 1.07866384e-07 4.31336377e-06 -1.41524330e-05 -1.69534999e-07 1.66469241e-06 1.77462229e-05
53000            -2.04553719e-08 4.78953343e-06 3.10622918e-05 3.83153019e-08 3.16634233e-06 2.42754172e-05 -5.87706738e-08 1.62319110e-06 6.78687451e-06
54000            2.60599630e-07 5.82230100e-06 9.68687411e-06 1.19934095e-07 4.17237532e-06 2.34763295e-05 1.40665535e-07 1.64992568e-06 -1.37894554e-05
55000            1.10270290e-07 5.57146874e-06 -1.19096066e-05 -4.05108073e-08 3.91505015e-06 3.47703042e-06 1.50781097e-07 1.65641859e-06 -1.53866370e-05
56000            5.48111162e-07 4.83222902e-06 -1.14495625e-04 5.79577837e-07 3.21487053e-06 -1.17596869e-04 -3.14666743e-08 1.61735850e-06 3.10124332e-06
57000            2.55077175e-08 5.99565019e-06 -1.34854930e-05 1.94121102e-07 4.33381640e-06 -3.11087429e-05 -1.68613384e-07 1.66183379e-06 1.76232499e-05
58000            8.34946580e-08 4.91788273e-06 4.85945449e-06 1.65789188e-07 3.28978654e-06 -4.34322536e-06 -8.22945301e-08 1.62809619e-06 9.20267986e-06
59000            8.82113495e-08 5.67440695e-06 3.37384051e-05 -3.71851176e-08 4.03203548e-06 4.58796916e-05 1.25396467e-07 1.64237147e-06 -1.21412865e-05
60000            1.14096521e-07 5.75204773e-06 -1.00932334e-05 -4.72452513e-08 4.09090079e-06 6.29023731e-06 1.61341772e-07 1.66114694e-06 -1.63834707e-05
61000            3.08217117e-07 4.70081464e-06 -7.10571361e-05 3.11148919e-07 3.08548726e-06 -7.12567654e-05 -2.93180231e-09 1.61532738e-06 1.99629329e-07
62000            -4.86258381e-08 5.97590243e-06 -9.58871459e-06 1.15664237e-07 4.31799143e-06 -2.67000343e-05 -1.64290075e-07 1.65791100e-06 1.71113198e-05
63000            1.53039484e-08 5.10523180e-06 1.58435176e-05 1.21157188e-07 3.46985062e-06 4.24020729e-06 -1.05853239e-07 1.63538118e-06 1.16033103e-05
64000            1.76789139e-07 5.45557615e-06 2.81624139e-05 7.36970340e-08 3.82156301e-06 3.79399291e-05 1.03092105e-07 1.63401314e-06 -9.77751524e-06
65000            1.65695653e-07 5.89503981e-06 -1.15179815e-05 -2.61749358e-09 4.23083206e-06 5.49092165e-06 1.68313147e-07 1.66420776e-06 -1.70089031e-05
66000            4.08193559e-07 4.64483361e-06 -8.59948179e-05 3.76075962e-07 3.02930582e-06 -8.26113803e-05 3.21175964e-08 1.61552779e-06 -3.38343764e-06
67000            5.90303646e-08 5.88243118e-06 -3.05926102e-05 2.12383030e-07 4.23122485e-06 -4.65081643e-05 -1.53352665e-07 1.65120633e-06 1.59155541e-05
68000            3.66801417e-08 5.30458809e-06 3.09222432e-06 1.62065117e-07 3.66192602e-06 -1.04740005e-05 -1.25384975e-07 1.64266207e-06 1.35662248e-05
69000            -3.29002097e-08 5.22467191e-06 5.28010831e-05 -1.09824169e-07 3.59832914e-06 5.98608283e-05 7.69239597e-08 1.62634277e-06 -7.05974515e-06
70000            1.80727204e-07 5.98399391e-06 -7.84990760e-06 8.79071583e-09 4.31848187e-06 9.45140794e-06 1.71936488e-07 1.66551203e-06 -1.73013155e-05
71000            1.28566199e-07 4.70096774e-06 -3.55406962e-05 6.56242510e-08 3.08109782e-06 -2.90199644e-05 6.29419484e-08 1.61986992e-06 -6.52073178e-06
72000            3.50762204e-09 5.74672611e-06 -3.16837173e-05 1.43795059e-07 4.10190313e-06 -4.61870605e-05 -1.40287437e-07 1.64482298e-06 1.45033431e-05
73000            -8.53671872e-08 5.52106498e-06 2.15468085e-05 5.54965936e-08 3.87122557e-06 6.44100585e-06 -1.40863781e-07 1.64983941e-06 1.51058026e-05
74000            -1.17725871e-08 5.02646694e-06 4.54392735e-05 -6.07008327e-08 3.40528486e-06 4.95949763e-05 4.89282455e-08 1.62118207e-06 -4.15570286e-06
75000            -2.70290688e-08 6.05340771e-06 2.03119402e-05 -1.99456376e-07 4.38779889e-06 3.75794886e-05 1.72427307e-07 1.66560883e-06 -1.72675485e-05
76000            1.16262560e-07 4.83308571e-06 -3.88552195e-05 2.66102354e-08 3.20562119e-06 -2.96348940e-05 8.96523250e-08 1.62746452e-06 -9.22032543e-06
77000            -1.98867239e-07 5.55702068e-06 -1.52512560e-05 -7.64433021e-08 3.91985749e-06 -2.78563111e-05 -1.22423937e-07 1.63716319e-06 1.26050551e-05
78000            -7.84994214e-08 5.70170965e-06 1.40976200e-05 7.56489029e-08 4.04577326e-06 -2.32144251e-06 -1.54148324e-07 1.65593640e-06 1.64190625e-05
79000            -2.01294750e-07 4.82764268e-06 7.36547798e-05 -2.17803620e-07 3.21082890e-06 7.44701434e-05 1.65088702e-08 1.61681378e-06 -8.15363607e-07
80000            5.59809449e-08 6.05891993e-06 1.63151598e-05 -1.12116254e-07 4.39612297e-06 3.30452947e-05 1.68097199e-07 1.66279696e-06 -1.67301349e-05
81000            1.07252808e-07 5.05290741e-06 -2.51654092e-05 -5.44123732e-09 3.41652122e-06 -1.36266483e-05 1.12694045e-07 1.63638619e-06 -1.15387609e-05
82000            -1.91411985e-07 5.32136585e-06 -1.89074559e-05 -9.29447086e-08 3.69253469e-06 -2.89964650e-05 -9.84672762e-08 1.62883116e-06 1.00890092e-05
83000            -6.61477718e-08 5.85012842e-06 8.24497841e-06 9.69640090e-08 4.19041106e-06 -9.02823371e-06 -1.63111781e-07 1.65971737e-06 1.72732121e-05
84000            -2.98174411e-07 4.73261129e-06 8.05200043e-05 -2.82327535e-07 3.11667389e-06 7.80295262e-05 -1.58468762e-08 1.61593740e-06 2.49047811e-06
85000            6.66549039e-08 5.99382209e-06 1.98112807e-05 -9.27287196e-08 4.33626094e-06 3.55648248e-05 1.59383624e-07 1.65756115e-06 -1.57535441e-05
86000            9.60165591e-08 5.29985958e-06 -2.21038763e-05 -3.49661921e-08 3.65476133e-06 -8.73402300e-06 1.30982751e-07 1.64509825e-06 -1.33698533e-05
87000            2.85923658e-07 5.13173031e-06 -7.07539719e-05 3.59749209e-07 3.50871051e-06 -7.82996206e-05 -7.38255512e-08 1.62301980e-06 7.54564863e-06
88000            2.68966229e-09 5.94850032e-06 -4.37001410e-06 1.71650296e-07 4.28665582e-06 -2.21814365e-05 -1.68960633e-07 1.66184450e-06 1.78114224e-05
89000            -2.86660683e-07 4.74872439e-06 6.91904730e-05 -2.40251612e-07 3.12988743e-06 6.35791383e-05 -4.64090708e-08 1.61883696e-06 5.61133464e-06
90000            1.12319962e-07 5.87836383e-06 2.25473374e-05 -3.46447461e-08 4.22732954e-06 3.69359888e-05 1.46964708e-07 1.65103429e-06 -1.43886514e-05
91000            1.17906547e-07 5.50003372e-06 -1.54545667e-05 -2.81317535e-08 3.84757173e-06 -5.98965707e-07 1.46038301e-07 1.65246199e-06 -1.48556010e-05
92000            5.31101386e-07 4.90122391e-06 -1.12374972e-04 5.73538131e-07 3.28405139e-06 -1.16666244e-04 -4.24367455e-08 1.61717252e-06 4.29127144e-06
93000            1.03407171e-08 6.00164776e-06 -1.10497823e-05 1.79931536e-07 4.34017767e-06 -2.88455566e-05 -1.69590818e-07 1.66147009e-06 1.77957743e-05
94000            -1.79322850e-07 4.84992320e-06 4.86175239e-05 -1.04874302e-07 3.22564182e-06 4.01644148e-05 -7.44485477e-08 1.62428138e-06 8.45310903e-06
95000            2.79118531e-07 5.71870537e-06 1.03315006e-05 1.48416359e-07 4.07540344e-06 2.29875136e-05 1.30702172e-07 1.64330193e-06 -1.26560131e-05
96000            9.90591334e-08 5.69064200e-06 -6.35936809e-06 -5.90782987e-08 4.03222656e-06 9.67978182e-06 1.58137432e-07 1.65841544e-06 -1.60391499e-05
97000            -3.02013689e-07 4.71869712e-06 -1.40526784e-06 -2.90083139e-07 3.10503877e-06 -2.52758319e-06 -1.19305497e-08 1.61365834e-06 1.12231536e-06
98000            9.15359715e-08 5.98965749e-06 -2.99439913e-05 2.57066349e-07 4.33141427e-06 -4.72408152e-05 -1.65530377e-07 1.65824322e-06 1.72968239e-05
99000            -4.55499873e-08 5.01898737e-06 2.24293550e-05 5.18104122e-08 3.38768604e-06 1.16674879e-05 -9.73603995e-08 1.63130133e-06 1.07618672e-05
100000           9.71028147e-08 5.52982744e-06 3.75954415e-05 -1.49063135e-08 3.89400890e-06 4.82934563e-05 1.12009128e-07 1.63581854e-06 -1.06980147e-05
101000           -9.08319808e-08 5.84294136e-06 1.74189484e-05 -2.57084205e-07 4.18034020e-06 3.42331621e-05 1.66252224e-07 1.66260116e-06 -1.68142137e-05
102000           4.40590416e-07 4.65424938e-06 -9.16408554e-05 4.22125792e-07 3.03979000e-06 -8.96717590e-05 1.84646244e-08 1.61445938e-06 -1.96909638e-06
103000           1.85661679e-08 5.93001661e-06 -2.16026248e-05 1.76785281e-07 4.27646803e-06 -3.80638683e-05 -1.58219113e-07 1.65354858e-06 1.64612434e-05
