Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
0.0001,1.55747184e+00,7.78508429e-01,7.78963410e-01,4.54980875e-03,2.36779366e-03,2.18201509e-03,9.28892834e-05,-2.27490437e-04,7.78735920e-02,-1.88008027e-19,7.78735920e-02,-7.78735920e-02
0.0002,1.50262164e+00,7.50779877e-01,7.51841765e-01,1.06188797e-02,5.38652380e-03,5.23235586e-03,7.70839679e-05,-5.30943983e-04,7.51310821e-02,-1.64814878e-19,7.51310821e-02,-7.51310821e-02
0.0003,1.55143880e+00,7.75218905e-01,7.76219892e-01,1.00098617e-02,5.06132780e-03,4.94853391e-03,5.63969470e-05,-5.00493085e-04,7.75719398e-02,-1.42648032e-19,7.75719398e-02,-7.75719398e-02
0.0004,1.57860693e+00,7.88995978e-01,7.89610949e-01,6.14971992e-03,3.10840309e-03,3.04131683e-03,3.35431326e-05,-3.07485996e-04,7.89303463e-02,-1.27972666e-19,7.89303463e-02,-7.89303463e-02
0.0005,1.57699336e+00,7.88328769e-01,7.88664593e-01,3.35823456e-03,1.68108703e-03,1.67714753e-03,1.96974869e-06,-1.67911728e-04,7.88496681e-02,-1.17561825e-19,7.88496681e-02,-7.88496681e-02
0.0006,1.55670156e+00,7.78097724e-01,7.78603836e-01,5.06112251e-03,2.51776465e-03,2.54335786e-03,-1.27966034e-05,-2.53056126e-04,7.78350780e-02,-1.12807725e-19,7.78350780e-02,-7.78350780e-02
0.0007,1.52772079e+00,7.63619459e-01,7.64101329e-01,4.81870211e-03,2.38934043e-03,2.42936168e-03,-2.00106271e-05,-2.40935106e-04,7.63860394e-02,-1.10187093e-19,7.63860394e-02,-7.63860394e-02
0.0008,1.49404516e+00,7.46921545e-01,7.47123618e-01,2.02073249e-03,9.99220726e-04,1.02151176e-03,-1.11455185e-05,-1.01036624e-04,7.47022582e-02,-1.07343268e-19,7.47022582e-02,-7.47022582e-02
0.0009,1.46553956e+00,7.32730877e-01,7.32808687e-01,7.78095529e-04,3.86373189e-04,3.91722340e-04,-2.67457514e-06,-3.89047765e-05,7.32769782e-02,-1.04780168e-19,7.32769782e-02,-7.32769782e-02
0.001,1.44137774e+00,7.20616740e-01,7.20761002e-01,1.44262386e-03,7.16155605e-04,7.26468256e-04,-5.15632574e-06,-7.21311930e-05,7.20688871e-02,-1.02581479e-19,7.20688871e-02,-7.20688871e-02
0.0011,1.42027439e+00,7.10069100e-01,7.10205288e-01,1.36188112e-03,6.73610395e-04,6.88270725e-04,-7.33016524e-06,-6.80940560e-05,7.10137194e-02,-1.00417828e-19,7.10137194e-02,-7.10137194e-02
0.0012,1.40064064e+00,7.00295746e-01,7.00344893e-01,4.91473814e-04,2.43661525e-04,2.47812288e-04,-2.07538145e-06,-2.45736907e-05,7.00320320e-02,-9.85182835e-20,7.00320320e-02,-7.00320320e-02
0.0013,1.38338168e+00,6.91699323e-01,6.91682361e-01,-1.69613263e-04,-7.45862296e-05,-9.50270331e-05,1.02204017e-05,8.48066314e-06,6.91690842e-02,-9.69312002e-20,6.91690842e-02,-6.91690842e-02
0.0014,1.36808868e+00,6.84116882e-01,6.83971800e-01,-1.45081689e-03,-6.93834259e-04,-7.56982633e-04,3.15741872e-05,7.25408446e-05,6.84044341e-02,-9.54081273e-20,6.84044341e-02,-6.84044341e-02
0.0015,1.35495346e+00,6.77595455e-01,6.77358001e-01,-2.37453875e-03,-1.12610722e-03,-1.24843152e-03,6.11621511e-05,1.18726937e-04,6.77476728e-02,-9.40484083e-20,6.77476728e-02,-6.77476728e-02
0.0016,1.34328371e+00,6.71822580e-01,6.71461129e-01,-3.61451762e-03,-1.70869660e-03,-1.90582101e-03,9.85622055e-05,1.80725881e-04,6.71641855e-02,-9.30148452e-20,6.71641855e-02,-6.71641855e-02
0.0017,1.33209927e+00,6.66272214e-01,6.65827055e-01,-4.45159306e-03,-2.08651570e-03,-2.36507736e-03,1.39280831e-04,2.22579653e-04,6.66049635e-02,-9.22512823e-20,6.66049635e-02,-6.66049635e-02
0.0018,1.32220797e+00,6.61348856e-01,6.60859114e-01,-4.89742429e-03,-2.26834636e-03,-2.62907792e-03,1.80365782e-04,2.44871214e-04,6.61103985e-02,-9.12954258e-20,6.61103985e-02,-6.61103985e-02
0.0019,1.31346886e+00,6.56983536e-01,6.56485323e-01,-4.98212985e-03,-2.27269729e-03,-2.70943256e-03,2.18367637e-04,2.49106493e-04,6.56734429e-02,-9.04855882e-20,6.56734429e-02,-6.56734429e-02
0.002,1.30561409e+00,6.53051225e-01,6.52562862e-01,-4.88363097e-03,-2.18807828e-03,-2.69555269e-03,2.53737203e-04,2.44181549e-04,6.52807044e-02,-8.97791200e-20,6.52807044e-02,-6.52807044e-02
0.0021,1.29849767e+00,6.49466194e-01,6.49031475e-01,-4.34718694e-03,-1.88650792e-03,-2.46067902e-03,2.87085550e-04,2.17359347e-04,6.49248835e-02,-8.91862129e-20,6.49248835e-02,-6.49248835e-02
0.0022,1.29257535e+00,6.46438792e-01,6.46136559e-01,-3.02233108e-03,-1.19256862e-03,-1.82976246e-03,3.18596922e-04,1.51116554e-04,6.46287675e-02,-8.85400940e-20,6.46287675e-02,-6.46287675e-02
0.0023,1.28678747e+00,6.43487927e-01,6.43299539e-01,-1.88387839e-03,-5.94183960e-04,-1.28969443e-03,3.47755236e-04,9.41939196e-05,6.43393733e-02,-8.79376534e-20,6.43393733e-02,-6.43393733e-02
0.0024,1.28172487e+00,6.40881072e-01,6.40843803e-01,-3.72691621e-04,1.88668023e-04,-5.61359644e-04,3.75013833e-04,1.86345810e-05,6.40862437e-02,-8.74920786e-20,6.40862437e-02,-6.40862437e-02
0.0025,1.27698451e+00,6.38425616e-01,6.38558898e-01,1.33281644e-03,1.06588664e-03,2.66929805e-04,3.99478416e-04,-6.66408221e-05,6.38492257e-02,-8.72291347e-20,6.38492257e-02,-6.38492257e-02
0.0026,1.27262276e+00,6.36151045e-01,6.36471711e-01,3.20665594e-03,2.02285785e-03,1.18379809e-03,4.19529877e-04,-1.60332797e-04,6.36311378e-02,-8.70222890e-20,6.36311378e-02,-6.36311378e-02
0.0027,1.26877008e+00,6.34133630e-01,6.34636454e-01,5.02824384e-03,2.94868771e-03,2.07955613e-03,4.34565793e-04,-2.51412192e-04,6.34385042e-02,-8.68153791e-20,6.34385042e-02,-6.34385042e-02
0.0028,1.26521250e+00,6.32274017e-01,6.32938479e-01,6.64462513e-03,3.76706633e-03,2.87755881e-03,4.44753758e-04,-3.32231257e-04,6.32606248e-02,-8.66020621e-20,6.32606248e-02,-6.32606248e-02
0.0029,1.26192969e+00,6.30559986e-01,6.31369703e-01,8.09717797e-03,4.49863995e-03,3.59853802e-03,4.50050964e-04,-4.04858898e-04,6.30964844e-02,-8.63580155e-20,6.30964844e-02,-6.30964844e-02
0.003,1.25855327e+00,6.28801588e-01,6.29751686e-01,9.50097396e-03,5.20009650e-03,4.30087745e-03,4.49609524e-04,-4.75048698e-04,6.29276637e-02,-8.61479937e-20,6.29276637e-02,-6.29276637e-02
0.0031,1.25546637e+00,6.27224931e-01,6.28241441e-01,1.01650973e-02,5.52610548e-03,4.63899182e-03,4.43556829e-04,-5.08254865e-04,6.27733186e-02,-8.58799416e-20,6.27733186e-02,-6.27733186e-02
0.0032,1.25238338e+00,6.25657004e-01,6.26726375e-01,1.06937116e-02,5.77979914e-03,4.91391250e-03,4.32943322e-04,-5.34685582e-04,6.26191689e-02,-8.56188644e-20,6.26191689e-02,-6.26191689e-02
0.0033,1.24968561e+00,6.24297298e-01,6.25388308e-01,1.09101061e-02,5.87422291e-03,5.03588322e-03,4.19169845e-04,-5.45505306e-04,6.24842803e-02,-8.53405162e-20,6.24842803e-02,-6.24842803e-02
0.0034,1.24724673e+00,6.23075512e-01,6.24171219e-01,1.09570719e-02,5.88228280e-03,5.07478909e-03,4.03746854e-04,-5.47853594e-04,6.23623365e-02,-8.50695770e-20,6.23623365e-02,-6.23623365e-02
0.0035,1.24499892e+00,6.21956497e-01,6.23042421e-01,1.08592375e-02,5.81773707e-03,5.04150048e-03,3.88118294e-04,-5.42961877e-04,6.22499459e-02,-8.48216724e-20,6.22499459e-02,-6.22499459e-02
0.0036,1.24298275e+00,6.20959544e-01,6.22023201e-01,1.06365714e-02,5.69139126e-03,4.94518010e-03,3.73105577e-04,-5.31828568e-04,6.21491373e-02,-8.45836933e-20,6.21491373e-02,-6.21491373e-02
0.0037,1.24117317e+00,6.20070749e-01,6.21102416e-01,1.03166753e-02,5.51763371e-03,4.79904155e-03,3.59296081e-04,-5.15833763e-04,6.20586583e-02,-8.43552818e-20,6.20586583e-02,-6.20586583e-02
0.0038,1.23948819e+00,6.19237625e-01,6.20250562e-01,1.01293764e-02,5.41171605e-03,4.71766038e-03,3.47027834e-04,-5.06468822e-04,6.19744094e-02,-8.41674618e-20,6.19744094e-02,-6.19744094e-02
0.0039,1.23811407e+00,6.18561544e-01,6.19552524e-01,9.90980047e-03,5.29113306e-03,4.61866741e-03,3.36232826e-04,-4.95490023e-04,6.19057034e-02,-8.39906007e-20,6.19057034e-02,-6.19057034e-02
0.004,1.23697607e+00,6.17997039e-01,6.18979033e-01,9.81993527e-03,5.23679221e-03,4.58314305e-03,3.26824579e-04,-4.90996763e-04,6.18488036e-02,-8.38566516e-20,6.18488036e-02,-6.18488036e-02
0.0041,1.23601746e+00,6.17519269e-01,6.18498189e-01,9.78919430e-03,5.21293152e-03,4.57626278e-03,3.18334372e-04,-4.89459715e-04,6.18008729e-02,-8.37382755e-20,6.18008729e-02,-6.18008729e-02
0.0042,1.23509852e+00,6.17068007e-01,6.18030512e-01,9.62505179e-03,5.12299470e-03,4.50205709e-03,3.10468805e-04,-4.81252590e-04,6.17549259e-02,-8.36056329e-20,6.17549259e-02,-6.17549259e-02
0.0043,1.23435790e+00,6.16700333e-01,6.17657568e-01,9.57235492e-03,5.08930199e-03,4.48305293e-03,3.03124531e-04,-4.78617746e-04,6.17178950e-02,-8.35080403e-20,6.17178950e-02,-6.17178950e-02
0.0044,1.23376737e+00,6.16403301e-01,6.17364068e-01,9.60766177e-03,5.09984260e-03,4.50781916e-03,2.96011722e-04,-4.80383088e-04,6.16883685e-02,-8.34335610e-20,6.16883685e-02,-6.16883685e-02
0.0045,1.23331331e+00,6.16168308e-01,6.17144999e-01,9.76691059e-03,5.17237520e-03,4.59453539e-03,2.88919909e-04,-4.88345529e-04,6.16656653e-02,-8.33829815e-20,6.16656653e-02,-6.16656653e-02
0.0046,1.23297082e+00,6.15980223e-01,6.16990595e-01,1.01037184e-02,5.33336972e-03,4.77034865e-03,2.81510535e-04,-5.05185919e-04,6.16485409e-02,-8.33665658e-20,6.16485409e-02,-6.16485409e-02
0.0047,1.23273105e+00,6.15847315e-01,6.16883735e-01,1.03642008e-02,5.45499145e-03,4.90920935e-03,2.72891051e-04,-5.18210040e-04,6.16365525e-02,-8.33460188e-20,6.16365525e-02,-6.16365525e-02
0.0048,1.23253096e+00,6.15741964e-01,6.16788992e-01,1.04702799e-02,5.49777217e-03,4.97250770e-03,2.62632236e-04,-5.23513994e-04,6.16265478e-02,-8.33326008e-20,6.16265478e-02,-6.16265478e-02
0.0049,1.23231769e+00,6.15629678e-01,6.16688009e-01,1.05833071e-02,5.54278610e-03,5.04052101e-03,2.51132545e-04,-5.29165355e-04,6.16158844e-02,-8.33323104e-20,6.16158844e-02,-6.16158844e-02
0.005,1.23213402e+00,6.15534344e-01,6.16599678e-01,1.06533425e-02,5.56503425e-03,5.08830825e-03,2.38362997e-04,-5.32667125e-04,6.16067011e-02,-8.33256882e-20,6.16067011e-02,-6.16067011e-02
0.0051,1.23108385e+00,6.15060077e-01,6.16023775e-01,9.63698475e-03,5.04286011e-03,4.59412464e-03,2.24367733e-04,-4.81849238e-04,6.15541926e-02,-8.28127387e-20,6.15541926e-02,-6.15541926e-02
0.0052,1.23166070e+00,6.15331799e-01,6.16328902e-01,9.97102884e-03,5.19524404e-03,4.77578481e-03,2.09729614e-04,-4.98551442e-04,6.15830350e-02,-8.31407825e-20,6.15830350e-02,-6.15830350e-02
0.0053,1.23194294e+00,6.15487887e-01,6.16455049e-01,9.67162409e-03,5.03086544e-03,4.64075866e-03,1.95053390e-04,-4.83581205e-04,6.15971468e-02,-8.32594812e-20,6.15971468e-02,-6.15971468e-02
0.0054,1.23202993e+00,6.15565738e-01,6.16464193e-01,8.98455060e-03,4.67356087e-03,4.31098974e-03,1.81285564e-04,-4.49227530e-04,6.16014965e-02,-8.32276031e-20,6.16014965e-02,-6.16014965e-02
0.0055,1.23204338e+00,6.15626081e-01,6.16417302e-01,7.91221531e-03,4.12569234e-03,3.78652297e-03,1.69584684e-04,-3.95610766e-04,6.16021691e-02,-8.31494247e-20,6.16021691e-02,-6.16021691e-02
0.0056,1.23198340e+00,6.15659617e-01,6.16323782e-01,6.64165309e-03,3.48203517e-03,3.15961791e-03,1.61208630e-04,-3.32082654e-04,6.15991699e-02,-8.30527474e-20,6.15991699e-02,-6.15991699e-02
0.0057,1.23191661e+00,6.15691535e-01,6.16225077e-01,5.33542127e-03,2.82500599e-03,2.51041527e-03,1.57295359e-04,-2.66771063e-04,6.15958306e-02,-8.29493315e-20,6.15958306e-02,-6.15958306e-02
0.0058,1.23186191e+00,6.15730583e-01,6.16131328e-01,4.00745229e-03,2.16263304e-03,1.84481925e-03,1.58906895e-04,-2.00372615e-04,6.15930955e-02,-8.28530641e-20,6.15930955e-02,-6.15930955e-02
0.0059,1.23180397e+00,6.15769701e-01,6.16034265e-01,2.64563905e-03,1.48958673e-03,1.15605232e-03,1.66767202e-04,-1.32281952e-04,6.15901983e-02,-8.27542057e-20,6.15901983e-02,-6.15901983e-02
0.006,1.23181657e+00,6.15825518e-01,6.15991053e-01,1.65535005e-03,1.00860085e-03,6.46749198e-04,1.80925828e-04,-8.27675026e-05,6.15908285e-02,-8.26954196e-20,6.15908285e-02,-6.15908285e-02
0.0061,1.23177787e+00,6.15832233e-01,6.15945639e-01,1.13406114e-03,7.68297369e-04,3.65763768e-04,2.01266801e-04,-5.67030569e-05,6.15888936e-02,-8.26798018e-20,6.15888936e-02,-6.15888936e-02
0.0062,1.23170056e+00,6.15801663e-01,6.15898902e-01,9.72390349e-04,7.12920675e-04,2.59469674e-04,2.26725501e-04,-4.86195174e-05,6.15850282e-02,-8.26912589e-20,6.15850282e-02,-6.15850282e-02
0.0063,1.23164956e+00,6.15761942e-01,6.15887616e-01,1.25673220e-03,8.83956736e-04,3.72775463e-04,2.55590637e-04,-6.28366099e-05,6.15824779e-02,-8.27416958e-20,6.15824779e-02,-6.15824779e-02
0.0064,1.23159011e+00,6.15686541e-01,6.15903571e-01,2.17030230e-03,1.37143863e-03,7.98863669e-04,2.86287482e-04,-1.08515115e-04,6.15795056e-02,-8.28666769e-20,6.15795056e-02,-6.15795056e-02
0.0065,1.23145635e+00,6.15549689e-01,6.15906664e-01,3.56974940e-03,2.10179455e-03,1.46795485e-03,3.16919849e-04,-1.78487470e-04,6.15728177e-02,-8.29980506e-20,6.15728177e-02,-6.15728177e-02
0.0066,1.23131875e+00,6.15386239e-01,6.15932508e-01,5.46268969e-03,3.07602489e-03,2.38666480e-03,3.44680047e-04,-2.73134484e-04,6.15659374e-02,-8.31908121e-20,6.15659374e-02,-6.15659374e-02
0.0067,1.23113814e+00,6.15175332e-01,6.15962807e-01,7.87475039e-03,4.30426126e-03,3.57048914e-03,3.66886059e-04,-3.93737520e-04,6.15569069e-02,-8.34101210e-20,6.15569069e-02,-6.15569069e-02
0.0068,1.23090968e+00,6.14925485e-01,6.15984190e-01,1.05870576e-02,5.67443298e-03,4.91262461e-03,3.80904183e-04,-5.29352879e-04,6.15454838e-02,-8.36247780e-20,6.15454838e-02,-6.15454838e-02
